MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230404,CA,56.17,43.83,24.86,0.82,0,0,4/4/23,4/10/23,1
20230328,CA,55.34,44.66,28.11,1.95,0,0,3/28/23,4/3/23,1
20230321,CA,48.51,51.49,35.88,8.49,0,0,3/21/23,3/27/23,1
20230314,CA,44.66,55.34,36.42,8.49,0,0,3/14/23,3/20/23,1
20230307,CA,26.84,73.16,43.06,19,0,0,3/7/23,3/13/23,1
20230228,CA,16.71,83.29,49.13,24.96,0,0,2/28/23,3/6/23,1
20230221,CA,0.61,99.39,84.6,32.62,0,0,2/21/23,2/27/23,1
20230214,CA,0.64,99.36,84.6,32.62,0,0,2/14/23,2/20/23,1
20230207,CA,0.64,99.36,84.6,32.62,0,0,2/7/23,2/13/23,1
20230131,CA,0.64,99.36,89.56,32.57,0,0,1/31/23,2/6/23,1
20230124,CA,0.64,99.36,89.56,32.57,0,0,1/24/23,1/30/23,1
20230117,CA,0.64,99.36,92.12,42.84,0,0,1/17/23,1/23/23,1
20230110,CA,0,100,95.38,46,0.32,0,1/10/23,1/16/23,1
20230103,CA,0,100,97.93,71.14,27.1,0,1/3/23,1/9/23,1
20221227,CA,0,100,97.94,80.56,35.5,7.16,12/27/22,1/2/23,1
20221220,CA,0,100,97.94,80.56,35.5,7.16,12/20/22,12/26/22,1
20221213,CA,0,100,97.94,80.56,35.5,7.16,12/13/22,12/19/22,1
20221206,CA,0,100,99.48,84.97,40.08,12.73,12/6/22,12/12/22,1
20221129,CA,0,100,99.48,84.97,40.92,12.73,11/29/22,12/5/22,1
20221122,CA,0,100,99.48,84.97,40.92,12.73,11/22/22,11/28/22,1
20221115,CA,0,100,99.48,84.97,40.92,12.73,11/15/22,11/21/22,1
20221108,CA,0,100,99.51,88.09,41.39,16.57,11/8/22,11/14/22,1
20221101,CA,0,100,99.77,91.83,43.06,16.57,11/1/22,11/7/22,1
20221025,CA,0,100,99.77,91.83,43.06,16.57,10/25/22,10/31/22,1
20221018,CA,0,100,99.77,91.83,40.91,16.57,10/18/22,10/24/22,1
20221011,CA,0,100,99.77,93.99,40.91,16.57,10/11/22,10/17/22,1
20221004,CA,0,100,99.77,94.02,40.91,16.57,10/4/22,10/10/22,1
20220927,CA,0,100,99.76,94.01,40.91,16.57,9/27/22,10/3/22,1
20220920,CA,0,100,99.76,94.06,40.91,16.57,9/20/22,9/26/22,1
20220913,CA,0,100,99.76,94.06,40.91,16.57,9/13/22,9/19/22,1
20220906,CA,0,100,99.76,97.52,40.18,16.57,9/6/22,9/12/22,1
20220830,CA,0,100,99.76,97.52,40.18,16.57,8/30/22,9/5/22,1
20220823,CA,0,100,99.76,97.53,43.16,16.57,8/23/22,8/29/22,1
20220816,CA,0,100,99.76,97.53,43.16,16.57,8/16/22,8/22/22,1
20220809,CA,0,100,99.77,97.52,45.81,16.53,8/9/22,8/15/22,1
20220802,CA,0,100,99.78,97.47,59.81,12.12,8/2/22,8/8/22,1
20220726,CA,0,100,99.78,97.47,59.81,12.74,7/26/22,8/1/22,1
20220719,CA,0,100,99.78,97.47,59.81,12.74,7/19/22,7/25/22,1
